name,job_location,job_type,company_name,job_url,company_url
Data Scientist,"Riyadh, Saudi Arabia ",Full Time,Professional Recruitment -,https://wuzzuf.net/jobs/p/Y28hk5DcLe7b-Data-Scientist-Professional-Recruitment-Riyadh-Saudi-Arabia,https://wuzzuf.net/jobs/p/Y28hk5DcLe7b-Data-Scientist-Professional-Recruitment-Riyadh-Saudi-Arabia
Data Scientist,"Maadi, Cairo, Egypt ",Full Time,DBS -,https://wuzzuf.net/jobs/p/ILwyRZjCXPxK-Data-Scientist-DBS-Cairo-Egypt,https://wuzzuf.net/jobs/p/ILwyRZjCXPxK-Data-Scientist-DBS-Cairo-Egypt
Data Science Instructor,"Nasr City, Cairo, Egypt ",Full TimePart Time,EpsilonAI -,https://wuzzuf.net/jobs/p/14BEtt96p9wi-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,https://wuzzuf.net/jobs/p/14BEtt96p9wi-Data-Science-Instructor-EpsilonAI-Cairo-Egypt
Mid-level AI Engineer,"Nasr City, Cairo, Egypt ",Full Time,Noases -,https://wuzzuf.net/jobs/p/r4Ou1v34QWq3-Mid-level-AI-Engineer-Noases-Cairo-Egypt,https://wuzzuf.net/jobs/p/r4Ou1v34QWq3-Mid-level-AI-Engineer-Noases-Cairo-Egypt
Data Scientist | ML Engineer,"New Cairo, Cairo, Egypt ",Full Time,Giza Systems -,https://wuzzuf.net/jobs/p/SPj0gEhYvHoh-Data-Scientist-ML-Engineer-Giza-Systems-Cairo-Egypt,https://wuzzuf.net/jobs/p/SPj0gEhYvHoh-Data-Scientist-ML-Engineer-Giza-Systems-Cairo-Egypt
AI & Analytics Senior Consultant,"New Cairo, Cairo, Egypt ",Full Time,Robiquity -,https://wuzzuf.net/jobs/p/CwUQ62K1pdvl-AI-Analytics-Senior-Consultant-Robiquity-Cairo-Egypt,https://wuzzuf.net/jobs/p/CwUQ62K1pdvl-AI-Analytics-Senior-Consultant-Robiquity-Cairo-Egypt
Data Scientist,"Maadi, Cairo, Egypt ",Full Time,FlapKap -,https://wuzzuf.net/jobs/p/3KIe5na9XB3K-Data-Scientist-FlapKap-Cairo-Egypt,https://wuzzuf.net/jobs/p/3KIe5na9XB3K-Data-Scientist-FlapKap-Cairo-Egypt
CAD Operator,"Riyadh, Saudi Arabia ",Full Time,Fluor Corporation -,https://wuzzuf.net/jobs/p/JNOhfEmwElOK-CAD-Operator-Fluor-Corporation-Riyadh-Saudi-Arabia,https://wuzzuf.net/jobs/p/JNOhfEmwElOK-CAD-Operator-Fluor-Corporation-Riyadh-Saudi-Arabia
Web Scraping & Crawling Developer,"Giza, Egypt ",Full Time,WSC -,https://wuzzuf.net/jobs/p/s2ZrnwmtyfYT-Web-Scraping-Crawling-Developer-WSC-Giza-Egypt,https://wuzzuf.net/jobs/p/s2ZrnwmtyfYT-Web-Scraping-Crawling-Developer-WSC-Giza-Egypt
Administrative Assistant,"Nasr City, Cairo, Egypt ",Full Time,Tecnogroup -,https://wuzzuf.net/jobs/p/atoKh3wo5Oh7-Administrative-Assistant-Tecnogroup-Cairo-Egypt,https://wuzzuf.net/jobs/p/atoKh3wo5Oh7-Administrative-Assistant-Tecnogroup-Cairo-Egypt
RPA Specialist,"Abu Dhabi, United Arab Emirates ",Full Time,Kinetic Business Solutions & Flow Talent -,https://wuzzuf.net/jobs/p/UbCBsBVs7Tdy-RPA-Specialist-Kinetic-Business-Solutions-Flow-Talent-Abu-Dhabi-United-Arab-Emirates,https://wuzzuf.net/jobs/p/UbCBsBVs7Tdy-RPA-Specialist-Kinetic-Business-Solutions-Flow-Talent-Abu-Dhabi-United-Arab-Emirates
Artificial Intelligence Team Leader,"Mohandessin, Giza, Egypt ",Full Time,Wakeb Data -,https://wuzzuf.net/jobs/p/nc8LxxDcTlIz-Artificial-Intelligence-Team-Leader-Wakeb-Data-Giza-Egypt,https://wuzzuf.net/jobs/p/nc8LxxDcTlIz-Artificial-Intelligence-Team-Leader-Wakeb-Data-Giza-Egypt
Data Scientist - Section Head,"6th of October, Giza, Egypt ",Full Time,IDH -,https://wuzzuf.net/jobs/p/A5JJWFl1OsZi-Data-Scientist---Section-Head-IDH-Giza-Egypt,https://wuzzuf.net/jobs/p/A5JJWFl1OsZi-Data-Scientist---Section-Head-IDH-Giza-Egypt
Technical Lead,"Cairo, Egypt ",Full Time,Block Gemini -,https://wuzzuf.net/jobs/p/HVplsw0CS6hK-Technical-Lead-Block-Gemini-Cairo-Egypt,https://wuzzuf.net/jobs/p/HVplsw0CS6hK-Technical-Lead-Block-Gemini-Cairo-Egypt
